Gene stable ID,Human gene stable ID,Human gene name,"Human orthology confidence [0 low, 1 high]",Gene name
ENSMUSG00000114846,,,,Gm29927
ENSMUSG00000106325,,,,Ighv8-10
ENSMUSG00000022753,,,,Tmem30c
ENSMUSG00000114730,,,,Gm47014
ENSMUSG00000024781,ENSG00000107798,LIPA,1,Lipa
ENSMUSG00000033712,ENSG00000158941,CCAR2,1,Ccar2
ENSMUSG00000105680,,,,Gm18340
ENSMUSG00000086448,,,,9330162012Rik
ENSMUSG00000021067,ENSG00000151748,SAV1,1,Sav1
ENSMUSG00000021624,ENSG00000134061,CD180,1,Cd180
ENSMUSG00000093270,,,,Mir5134
ENSMUSG00000099123,,,,Mir6965
ENSMUSG00000105023,,,,1700012D16Rik
ENSMUSG00000106024,,,,A530083M17Rik
ENSMUSG00000003199,ENSG00000008382,MPND,1,Mpnd
ENSMUSG00002075751,,,,
ENSMUSG00000104908,,,,1700015C17Rik
ENSMUSG00000097896,,,,Gm26800
ENSMUSG00000104593,,,,Ighv1-65
ENSMUSG00000104964,,,,4930597L12Rik
ENSMUSG00000022748,ENSG00000184220,CMSS1,1,Cmss1
ENSMUSG00002076290,ENSG00000252879,RN7SKP98,0,7SK
ENSMUSG00002076290,ENSG00000271394,7SK,0,7SK
ENSMUSG00000089237,,,,Gm22206
ENSMUSG00000106011,,,,Gm43833
ENSMUSG00000058508,,,,Gm10042
ENSMUSG00000105599,,,,Gm9238
ENSMUSG00000062046,,,,5730460C07Rik
ENSMUSG00000113898,,,,Gm19144
ENSMUSG00000021567,ENSG00000145506,NKD2,1,Nkd2
ENSMUSG00000113491,,,,Gm19221
ENSMUSG00000077174,,,,Gm25757
ENSMUSG00000095170,ENSG00000211951,IGHV2-26,1,Ighv8-11
ENSMUSG00000095170,ENSG00000274576,IGHV2-70,0,Ighv8-11
ENSMUSG00000095170,ENSG00000259303,IGHV2OR16-5,0,Ighv8-11
ENSMUSG00000095170,ENSG00000211974,IGHV2-70D,0,Ighv8-11
ENSMUSG00000095170,ENSG00000211937,IGHV2-5,0,Ighv8-11
ENSMUSG00000037325,ENSG00000138686,BBS7,1,Bbs7
ENSMUSG00002075412,,,,
ENSMUSG00000051209,ENSG00000147262,GPR119,1,Gpr119
ENSMUSG00000020184,ENSG00000135679,MDM2,1,Mdm2
ENSMUSG00000116877,,,,4921517D16Rik
ENSMUSG00002075853,,,,U6
ENSMUSG00000106283,,,,Rpl7a-ps2
ENSMUSG00000116789,,,,Gm49579
ENSMUSG00000118048,,,,Gm50257
ENSMUSG00000031266,ENSG00000102393,GLA,1,Gla
ENSMUSG00000095519,ENSG00000281990,IGHV1-69-2,1,Ighv1-66
ENSMUSG00000095519,ENSG00000211973,IGHV1-69,1,Ighv1-66
ENSMUSG00000095519,ENSG00000211950,IGHV1-24,0,Ighv1-66
ENSMUSG00000095519,ENSG00000211945,IGHV1-18,0,Ighv1-66
ENSMUSG00000095519,ENSG00000188403,IGHV1OR15-9,0,Ighv1-66
ENSMUSG00000095519,ENSG00000211962,IGHV1-46,0,Ighv1-66
ENSMUSG00000095519,ENSG00000280411,IGHV1-69D,1,Ighv1-66
ENSMUSG00000095519,ENSG00000211935,IGHV1-3,0,Ighv1-66
ENSMUSG00000095519,ENSG00000211968,IGHV1-58,0,Ighv1-66
ENSMUSG00000095519,ENSG00000277282,IGHV1OR21-1,0,Ighv1-66
ENSMUSG00000095519,ENSG00000211961,IGHV1-45,0,Ighv1-66
ENSMUSG00000045932,ENSG00000119922,IFIT2,1,Ifit2
ENSMUSG00000043336,ENSG00000168386,FILIP1L,1,Filip1l
ENSMUSG00000095863,ENSG00000281990,IGHV1-69-2,1,Ighv1-67
ENSMUSG00000095863,ENSG00000211973,IGHV1-69,1,Ighv1-67
ENSMUSG00000095863,ENSG00000211950,IGHV1-24,0,Ighv1-67
ENSMUSG00000095863,ENSG00000211945,IGHV1-18,0,Ighv1-67
ENSMUSG00000095863,ENSG00000188403,IGHV1OR15-9,0,Ighv1-67
ENSMUSG00000095863,ENSG00000211962,IGHV1-46,0,Ighv1-67
ENSMUSG00000095863,ENSG00000280411,IGHV1-69D,1,Ighv1-67
ENSMUSG00000095863,ENSG00000211935,IGHV1-3,0,Ighv1-67
ENSMUSG00000095863,ENSG00000211968,IGHV1-58,0,Ighv1-67
ENSMUSG00000095863,ENSG00000277282,IGHV1OR21-1,0,Ighv1-67
ENSMUSG00000095863,ENSG00000211961,IGHV1-45,0,Ighv1-67
ENSMUSG00000044551,ENSG00000241852,C8orf58,1,9930012K11Rik
ENSMUSG00000105582,,,,Ighv1-68
ENSMUSG00000106077,,,,Gm5660
ENSMUSG00000074896,ENSG00000119917,IFIT3,0,Ifit3
ENSMUSG00000106420,,,,Gm9245
ENSMUSG00000094502,ENSG00000281990,IGHV1-69-2,1,Ighv1-69
ENSMUSG00000094502,ENSG00000211973,IGHV1-69,1,Ighv1-69
ENSMUSG00000094502,ENSG00000211950,IGHV1-24,0,Ighv1-69
ENSMUSG00000094502,ENSG00000211945,IGHV1-18,0,Ighv1-69
ENSMUSG00000094502,ENSG00000188403,IGHV1OR15-9,0,Ighv1-69
ENSMUSG00000094502,ENSG00000211962,IGHV1-46,0,Ighv1-69
ENSMUSG00000094502,ENSG00000280411,IGHV1-69D,1,Ighv1-69
ENSMUSG00000094502,ENSG00000211935,IGHV1-3,0,Ighv1-69
ENSMUSG00000094502,ENSG00000211968,IGHV1-58,0,Ighv1-69
ENSMUSG00000094502,ENSG00000277282,IGHV1OR21-1,0,Ighv1-69
ENSMUSG00000094502,ENSG00000211961,IGHV1-45,0,Ighv1-69
ENSMUSG00000079339,ENSG00000204010,IFIT1B,0,Ifit1bl1
ENSMUSG00000068196,ENSG00000144810,COL8A1,1,Col8a1
ENSMUSG00000076731,ENSG00000211951,IGHV2-26,1,Ighv8-12
ENSMUSG00000076731,ENSG00000274576,IGHV2-70,1,Ighv8-12
ENSMUSG00000076731,ENSG00000259303,IGHV2OR16-5,1,Ighv8-12
ENSMUSG00000076731,ENSG00000211974,IGHV2-70D,1,Ighv8-12
ENSMUSG00000076731,ENSG00000211937,IGHV2-5,1,Ighv8-12
ENSMUSG00000062488,ENSG00000119917,IFIT3,0,Ifit3b
ENSMUSG00000031107,ENSG00000134597,RBMX2,1,Rbmx2
ENSMUSG00000105737,,,,Gm6105
ENSMUSG00000024786,ENSG00000168070,MAJIN,1,Majin
ENSMUSG00000108559,,,,Gm44782
ENSMUSG00000106601,,,,Ighv1-70
ENSMUSG00000098336,,,,Mir6388
ENSMUSG00000116873,,,,Gm49577
ENSMUSG00000096577,ENSG00000281990,IGHV1-69-2,1,Ighv1-71
ENSMUSG00000096577,ENSG00000211973,IGHV1-69,1,Ighv1-71
ENSMUSG00000096577,ENSG00000211950,IGHV1-24,0,Ighv1-71
ENSMUSG00000096577,ENSG00000211945,IGHV1-18,0,Ighv1-71
ENSMUSG00000096577,ENSG00000188403,IGHV1OR15-9,0,Ighv1-71
ENSMUSG00000096577,ENSG00000211962,IGHV1-46,0,Ighv1-71
ENSMUSG00000096577,ENSG00000280411,IGHV1-69D,1,Ighv1-71
ENSMUSG00000096577,ENSG00000211935,IGHV1-3,0,Ighv1-71
ENSMUSG00000096577,ENSG00000211968,IGHV1-58,0,Ighv1-71
ENSMUSG00000096577,ENSG00000277282,IGHV1OR21-1,0,Ighv1-71
ENSMUSG00000096577,ENSG00000211961,IGHV1-45,0,Ighv1-71
ENSMUSG00000116788,,,,Gm5674
ENSMUSG00000116920,,,,Gm49575
ENSMUSG00000119068,,,,Gm24039
ENSMUSG00000066714,,,,Gm8062
ENSMUSG00000096074,ENSG00000281990,IGHV1-69-2,1,Ighv1-72
ENSMUSG00000096074,ENSG00000211973,IGHV1-69,1,Ighv1-72
ENSMUSG00000096074,ENSG00000211950,IGHV1-24,0,Ighv1-72
ENSMUSG00000096074,ENSG00000211945,IGHV1-18,0,Ighv1-72
ENSMUSG00000096074,ENSG00000188403,IGHV1OR15-9,0,Ighv1-72
ENSMUSG00000096074,ENSG00000211962,IGHV1-46,0,Ighv1-72
ENSMUSG00000096074,ENSG00000280411,IGHV1-69D,1,Ighv1-72
ENSMUSG00000096074,ENSG00000211935,IGHV1-3,0,Ighv1-72
ENSMUSG00000096074,ENSG00000211968,IGHV1-58,0,Ighv1-72
ENSMUSG00000096074,ENSG00000277282,IGHV1OR21-1,0,Ighv1-72
ENSMUSG00000096074,ENSG00000211961,IGHV1-45,0,Ighv1-72
ENSMUSG00000021569,ENSG00000071539,TRIP13,1,Trip13
ENSMUSG00000050089,ENSG00000147081,AKAP4,1,Akap4
ENSMUSG00000091695,,,,Gm17669
ENSMUSG00000022090,ENSG00000248235,,0,Pdlim2
ENSMUSG00000022090,ENSG00000120913,PDLIM2,0,Pdlim2
ENSMUSG00000073542,ENSG00000101624,CEP76,1,Cep76
ENSMUSG00000076733,ENSG00000211951,IGHV2-26,1,Ighv8-13
ENSMUSG00000076733,ENSG00000274576,IGHV2-70,0,Ighv8-13
ENSMUSG00000076733,ENSG00000259303,IGHV2OR16-5,0,Ighv8-13
ENSMUSG00000076733,ENSG00000211974,IGHV2-70D,0,Ighv8-13
ENSMUSG00000076733,ENSG00000211937,IGHV2-5,0,Ighv8-13
ENSMUSG00000067297,ENSG00000204010,IFIT1B,0,Ifit1bl2
ENSMUSG00000040785,ENSG00000182670,TTC3,1,Ttc3
ENSMUSG00000105749,,,,Gm9251
ENSMUSG00000118260,,,,Cnn2-ps
ENSMUSG00000115073,,,,Gm49283
ENSMUSG00000034459,ENSG00000204010,IFIT1B,1,Ifit1
ENSMUSG00002075037,,,,5S_rRNA
ENSMUSG00000106599,,,,Ighv1-73
ENSMUSG00000115337,,,,4930570B17Rik
ENSMUSG00000118712,,,,Gm24487
ENSMUSG00000115012,,,,9630009A06Rik
ENSMUSG00000094124,ENSG00000281990,IGHV1-69-2,0,Ighv1-74
ENSMUSG00000094124,ENSG00000211973,IGHV1-69,0,Ighv1-74
ENSMUSG00000094124,ENSG00000211950,IGHV1-24,0,Ighv1-74
ENSMUSG00000094124,ENSG00000211945,IGHV1-18,1,Ighv1-74
ENSMUSG00000094124,ENSG00000188403,IGHV1OR15-9,0,Ighv1-74
ENSMUSG00000094124,ENSG00000211962,IGHV1-46,0,Ighv1-74
ENSMUSG00000094124,ENSG00000280411,IGHV1-69D,0,Ighv1-74
ENSMUSG00000094124,ENSG00000211935,IGHV1-3,0,Ighv1-74
ENSMUSG00000094124,ENSG00000211968,IGHV1-58,0,Ighv1-74
ENSMUSG00000094124,ENSG00000277282,IGHV1OR21-1,0,Ighv1-74
ENSMUSG00000094124,ENSG00000211961,IGHV1-45,0,Ighv1-74
ENSMUSG00000115474,,,,4930430F21Rik
ENSMUSG00000077468,,,,Gm26416
ENSMUSG00000024784,ENSG00000149735,GPHA2,1,Gpha2
ENSMUSG00000039168,ENSG00000112977,DAP,1,Dap
ENSMUSG00000091087,,,,Ighv8-14
ENSMUSG00000024456,ENSG00000131504,DIAPH1,1,Diaph1
ENSMUSG00000105669,,,,Gm18341
ENSMUSG00000104780,,,,Gm19843
ENSMUSG00000082240,,,,Gm14380
ENSMUSG00000096020,ENSG00000281990,IGHV1-69-2,0,Ighv1-75
ENSMUSG00000096020,ENSG00000211973,IGHV1-69,0,Ighv1-75
ENSMUSG00000096020,ENSG00000211950,IGHV1-24,0,Ighv1-75
ENSMUSG00000096020,ENSG00000211945,IGHV1-18,0,Ighv1-75
ENSMUSG00000096020,ENSG00000188403,IGHV1OR15-9,0,Ighv1-75
ENSMUSG00000096020,ENSG00000211962,IGHV1-46,0,Ighv1-75
ENSMUSG00000096020,ENSG00000280411,IGHV1-69D,0,Ighv1-75
ENSMUSG00000096020,ENSG00000211935,IGHV1-3,0,Ighv1-75
ENSMUSG00000096020,ENSG00000211968,IGHV1-58,0,Ighv1-75
ENSMUSG00000096020,ENSG00000277282,IGHV1OR21-1,0,Ighv1-75
ENSMUSG00000096020,ENSG00000211961,IGHV1-45,0,Ighv1-75
ENSMUSG00000079606,,,,Fsip2l
ENSMUSG00000104542,,,,Ighv8-15
ENSMUSG00000002871,ENSG00000163870,TPRA1,1,Tpra1
ENSMUSG00000009378,ENSG00000152779,SLC16A12,1,Slc16a12
ENSMUSG00000055416,,,,Fam136b-ps
ENSMUSG00000093896,ENSG00000281990,IGHV1-69-2,0,Ighv1-76
ENSMUSG00000093896,ENSG00000211973,IGHV1-69,0,Ighv1-76
ENSMUSG00000093896,ENSG00000211950,IGHV1-24,0,Ighv1-76
ENSMUSG00000093896,ENSG00000211945,IGHV1-18,0,Ighv1-76
ENSMUSG00000093896,ENSG00000188403,IGHV1OR15-9,0,Ighv1-76
ENSMUSG00000093896,ENSG00000211962,IGHV1-46,0,Ighv1-76
ENSMUSG00000093896,ENSG00000280411,IGHV1-69D,0,Ighv1-76
ENSMUSG00000093896,ENSG00000211935,IGHV1-3,0,Ighv1-76
ENSMUSG00000093896,ENSG00000211968,IGHV1-58,0,Ighv1-76
ENSMUSG00000093896,ENSG00000277282,IGHV1OR21-1,0,Ighv1-76
ENSMUSG00000093896,ENSG00000211961,IGHV1-45,0,Ighv1-76
ENSMUSG00000115418,,,,Gm49296
ENSMUSG00002076824,,,,
ENSMUSG00000021340,ENSG00000112293,GPLD1,1,Gpld1
ENSMUSG00000036661,ENSG00000105339,DENND3,1,Dennd3
ENSMUSG00000106482,,,,Ighv8-16
ENSMUSG00000096452,ENSG00000281990,IGHV1-69-2,1,Ighv1-77
ENSMUSG00000096452,ENSG00000211973,IGHV1-69,0,Ighv1-77
ENSMUSG00000096452,ENSG00000211950,IGHV1-24,1,Ighv1-77
ENSMUSG00000096452,ENSG00000211945,IGHV1-18,0,Ighv1-77
ENSMUSG00000096452,ENSG00000188403,IGHV1OR15-9,0,Ighv1-77
ENSMUSG00000096452,ENSG00000211962,IGHV1-46,0,Ighv1-77
ENSMUSG00000096452,ENSG00000280411,IGHV1-69D,0,Ighv1-77
ENSMUSG00000096452,ENSG00000211935,IGHV1-3,0,Ighv1-77
ENSMUSG00000096452,ENSG00000211968,IGHV1-58,0,Ighv1-77
ENSMUSG00000096452,ENSG00000277282,IGHV1OR21-1,0,Ighv1-77
ENSMUSG00000096452,ENSG00000211961,IGHV1-45,0,Ighv1-77
ENSMUSG00000118098,,,,Gm18425
ENSMUSG00002074940,,,,
ENSMUSG00000022091,ENSG00000120896,SORBS3,1,Sorbs3
ENSMUSG00000118083,,,,Gm50173
ENSMUSG00000096326,ENSG00000281990,IGHV1-69-2,0,Ighv1-78
ENSMUSG00000096326,ENSG00000211973,IGHV1-69,0,Ighv1-78
ENSMUSG00000096326,ENSG00000211950,IGHV1-24,0,Ighv1-78
ENSMUSG00000096326,ENSG00000211945,IGHV1-18,0,Ighv1-78
ENSMUSG00000096326,ENSG00000188403,IGHV1OR15-9,0,Ighv1-78
ENSMUSG00000096326,ENSG00000211962,IGHV1-46,0,Ighv1-78
ENSMUSG00000096326,ENSG00000280411,IGHV1-69D,0,Ighv1-78
ENSMUSG00000096326,ENSG00000211935,IGHV1-3,0,Ighv1-78
ENSMUSG00000096326,ENSG00000211968,IGHV1-58,0,Ighv1-78
ENSMUSG00000096326,ENSG00000277282,IGHV1OR21-1,0,Ighv1-78
ENSMUSG00000096326,ENSG00000211961,IGHV1-45,0,Ighv1-78
ENSMUSG00000088212,,,,Gm22082
ENSMUSG00000117945,,,,Gm50116
ENSMUSG00000081526,,,,Gm7219
ENSMUSG00000024777,ENSG00000068971,PPP2R5B,1,Ppp2r5b
ENSMUSG00000020651,ENSG00000091137,SLC26A4,1,Slc26a4
ENSMUSG00000035435,,,,Abca17
ENSMUSG00000045427,ENSG00000126945,HNRNPH2,1,Hnrnph2
ENSMUSG00000086438,,,,Asb17os
ENSMUSG00000085226,,,,Gm7855
ENSMUSG00000082655,,,,Gm7857
ENSMUSG00000087024,,,,B230119M05Rik
ENSMUSG00000038997,ENSG00000154007,ASB17,1,Asb17
ENSMUSG00000049804,ENSG00000196440,ARMCX4,1,Armcx4
ENSMUSG00000106645,,,,Gm42643
ENSMUSG00000085347,,,,Hk1os
ENSMUSG00000112718,,,,Gm48524
ENSMUSG00000104590,,,,Gm5034
ENSMUSG00000105123,,,,Ighv1-79
ENSMUSG00000105928,,,,Gm9256
ENSMUSG00000025658,ENSG00000149970,CNKSR2,1,Cnksr2
ENSMUSG00000060181,ENSG00000175782,SLC35E3,1,Slc35e3
ENSMUSG00000039735,ENSG00000137942,FNBP1L,1,Fnbp1l
ENSMUSG00000021012,ENSG00000100722,ZC3H14,1,Zc3h14
ENSMUSG00000022623,ENSG00000251322,SHANK3,1,Shank3
ENSMUSG00000033610,ENSG00000152782,PANK1,1,Pank1
ENSMUSG00000019889,ENSG00000152894,PTPRK,1,Ptprk
ENSMUSG00002075073,,,,
ENSMUSG00000084755,,,,Gm16276
ENSMUSG00000003200,ENSG00000141985,SH3GL1,1,Sh3gl1
ENSMUSG00000021339,ENSG00000124532,MRS2,1,Mrs2
ENSMUSG00000115186,,,,Gm49417
ENSMUSG00000022092,ENSG00000120910,PPP3CC,1,Ppp3cc
ENSMUSG00000114228,,,,Gm47605
ENSMUSG00000035910,ENSG00000146038,DCDC2,1,Dcdc2a
ENSMUSG00000002835,ENSG00000167670,CHAF1A,1,Chaf1a
ENSMUSG00000065594,,,,Mir107
ENSMUSG00000024773,ENSG00000110046,ATG2A,1,Atg2a
ENSMUSG00000115645,,,,Gm49288
ENSMUSG00002076268,,,,
ENSMUSG00000115025,,,,Gm4240
ENSMUSG00000008450,ENSG00000102898,NUTF2,1,Nutf2
ENSMUSG00000021922,ENSG00000055955,ITIH4,1,Itih4
ENSMUSG00000098706,,,,Mir6979
ENSMUSG00000117686,,,,Gm50122
ENSMUSG00000024537,ENSG00000128789,PSMG2,1,Psmg2
ENSMUSG00000019578,ENSG00000167671,UBXN6,1,Ubxn6
ENSMUSG00000082667,,,,Gm11348
ENSMUSG00000022237,ENSG00000164236,ANKRD33B,1,Ankrd33b
ENSMUSG00000048978,ENSG00000152954,NRSN1,1,Nrsn1
ENSMUSG00000110394,,,,Gm18991
ENSMUSG00000086500,,,,Gm15875
ENSMUSG00000031512,ENSG00000153495,TEX29,0,Tex29
ENSMUSG00000024454,ENSG00000171720,HDAC3,1,Hdac3
ENSMUSG00000114427,,,,F830002E08Rik
ENSMUSG00000083919,,,,Tpi-rs8
ENSMUSG00000080840,,,,Gm11349
ENSMUSG00000027716,ENSG00000138741,TRPC3,1,Trpc3
ENSMUSG00000082161,,,,Gm11350
ENSMUSG00000086531,,,,Gm11351
ENSMUSG00000107676,,,,Gm44178
ENSMUSG00000082076,,,,Gm8659
ENSMUSG00000084358,,,,Gm11352
ENSMUSG00000083136,,,,Gm15170
ENSMUSG00000084811,,,,1700092E19Rik
ENSMUSG00000115406,,,,Gm49300
ENSMUSG00000008153,ENSG00000139182,CLSTN3,1,Clstn3
ENSMUSG00000081797,,,,Gm8662
ENSMUSG00000086602,,,,Gm15609
ENSMUSG00000084270,,,,Gm15177
ENSMUSG00000109772,,,,Gm39132
ENSMUSG00000022236,ENSG00000145491,ROPN1L,1,Ropn1l
ENSMUSG00000088896,,,,Gm22522
ENSMUSG00000114660,,,,Gm47881
ENSMUSG00000084210,,,,Gm15168
ENSMUSG00000110002,,,,Gm45680
ENSMUSG00000060198,,,,Gm11353
ENSMUSG00000109995,,,,B020031H02Rik
ENSMUSG00000082026,,,,Gm5764
ENSMUSG00000083316,,,,Gm15185
ENSMUSG00000114225,,,,Gm47883
ENSMUSG00000074473,,,,A230072I06Rik
ENSMUSG00000083625,,,,Gm15188
ENSMUSG00000101899,,,,Gm29175
ENSMUSG00000045835,ENSG00000112273,HDGFL1,0,Hdgfl1
ENSMUSG00000110412,,,,Gm33175
ENSMUSG00000114342,,,,4921520N01Rik
ENSMUSG00000083127,,,,Gm15189
ENSMUSG00002076452,,,,7SK
ENSMUSG00000081653,,,,Gm11354
ENSMUSG00000068964,,,,Gm6361
ENSMUSG00000004317,ENSG00000171365,CLCN5,1,Clcn5
ENSMUSG00000115710,,,,Gm49208
ENSMUSG00000070047,ENSG00000083857,FAT1,1,Fat1
ENSMUSG00000057649,ENSG00000028310,BRD9,1,Brd9
ENSMUSG00000022622,ENSG00000100312,ACR,1,Acr
ENSMUSG00000002833,ENSG00000167674,HDGFL2,1,Hdgfl2
ENSMUSG00000082548,,,,Gm12377
ENSMUSG00000084027,,,,Gm12376
ENSMUSG00000104773,,,,Mir7657
ENSMUSG00000106194,,,,Gm43569
ENSMUSG00000106364,,,,Gm42994
ENSMUSG00000106365,,,,Gm43568
ENSMUSG00000106562,,,,Gm5981
ENSMUSG00000027998,ENSG00000171566,PLRG1,1,Plrg1
ENSMUSG00000079020,ENSG00000022567,SLC45A4,1,Slc45a4
ENSMUSG00000055403,,,,4933427D06Rik
ENSMUSG00000065582,,,,Mir194-2
ENSMUSG00000065523,ENSG00000283926,MIR192,1,Mir192
ENSMUSG00000085196,,,,Gm14963
ENSMUSG00000024772,ENSG00000110047,EHD1,1,Ehd1
ENSMUSG00000118414,,,,Gm50463
ENSMUSG00000107552,,,,Gm44096
ENSMUSG00000038527,ENSG00000139178,C1RL,1,C1rl
ENSMUSG00000089127,ENSG00000253047,,0,Gm26401
ENSMUSG00000089127,ENSG00000252352,,0,Gm26401
ENSMUSG00000089127,ENSG00000222966,,0,Gm26401
ENSMUSG00000070108,ENSG00000272080,MIR502,1,Mir500
ENSMUSG00000076251,ENSG00000211538,MIR501,1,Mir501
ENSMUSG00000070100,,,,Mir362
ENSMUSG00000065398,ENSG00000207768,MIR188,1,Mir188
ENSMUSG00000070139,ENSG00000207758,MIR532,1,Mir532
ENSMUSG00000046269,ENSG00000273820,USP27X,1,Usp27x
ENSMUSG00000087252,,,,Gm14379
ENSMUSG00000024539,ENSG00000175354,PTPN2,1,Ptpn2
ENSMUSG00000090254,,,,Gm1965
ENSMUSG00000063018,,,,2010204K13Rik
ENSMUSG00000083535,,,,Gm14381
ENSMUSG00000084150,,,,Gm14395
ENSMUSG00000024769,ENSG00000171219,CDC42BPG,1,Cdc42bpg
ENSMUSG00000083402,,,,Gm14394
ENSMUSG00000088477,,,,Gm23082
ENSMUSG00000099958,,,,1700010B13Rik
ENSMUSG00000033460,ENSG00000126947,ARMCX1,1,Armcx1
ENSMUSG00002075684,,,,
ENSMUSG00000045281,ENSG00000204882,GPR20,1,Gpr20
ENSMUSG00000020080,ENSG00000156510,HKDC1,1,Hkdc1
ENSMUSG00000090013,,,,Gm6507
ENSMUSG00000047935,,,,Sox1ot
ENSMUSG00000039100,ENSG00000145495,MARCHF6,1,Marchf6
ENSMUSG00000108221,,,,Gm44203
ENSMUSG00000082236,,,,Gm11355
ENSMUSG00000114646,,,,Gm47888
ENSMUSG00000060416,,,,Gm839
ENSMUSG00000113274,,,,Gm41002
ENSMUSG00000094075,ENSG00000281990,IGHV1-69-2,0,Ighv1-80
ENSMUSG00000094075,ENSG00000211973,IGHV1-69,0,Ighv1-80
ENSMUSG00000094075,ENSG00000211950,IGHV1-24,0,Ighv1-80
ENSMUSG00000094075,ENSG00000211945,IGHV1-18,0,Ighv1-80
ENSMUSG00000094075,ENSG00000188403,IGHV1OR15-9,0,Ighv1-80
ENSMUSG00000094075,ENSG00000211962,IGHV1-46,0,Ighv1-80
ENSMUSG00000094075,ENSG00000280411,IGHV1-69D,0,Ighv1-80
ENSMUSG00000094075,ENSG00000211935,IGHV1-3,0,Ighv1-80
ENSMUSG00000094075,ENSG00000211968,IGHV1-58,0,Ighv1-80
ENSMUSG00000094075,ENSG00000277282,IGHV1OR21-1,0,Ighv1-80
ENSMUSG00000094075,ENSG00000211961,IGHV1-45,0,Ighv1-80
ENSMUSG00000069189,ENSG00000188818,ZDHHC11,0,Zdhhc11
ENSMUSG00000069189,ENSG00000206077,ZDHHC11B,0,Zdhhc11
ENSMUSG00000110160,,,,Gm45560
ENSMUSG00000094689,ENSG00000281990,IGHV1-69-2,0,Ighv1-81
ENSMUSG00000094689,ENSG00000211973,IGHV1-69,0,Ighv1-81
ENSMUSG00000094689,ENSG00000211950,IGHV1-24,0,Ighv1-81
ENSMUSG00000094689,ENSG00000211945,IGHV1-18,0,Ighv1-81
ENSMUSG00000094689,ENSG00000188403,IGHV1OR15-9,0,Ighv1-81
ENSMUSG00000094689,ENSG00000211962,IGHV1-46,0,Ighv1-81
ENSMUSG00000094689,ENSG00000280411,IGHV1-69D,0,Ighv1-81
ENSMUSG00000094689,ENSG00000211935,IGHV1-3,0,Ighv1-81
ENSMUSG00000094689,ENSG00000211968,IGHV1-58,0,Ighv1-81
ENSMUSG00000094689,ENSG00000277282,IGHV1OR21-1,0,Ighv1-81
ENSMUSG00000094689,ENSG00000211961,IGHV1-45,0,Ighv1-81
ENSMUSG00000097491,,,,Gm2366
ENSMUSG00002076033,,,,5S_rRNA
ENSMUSG00000107732,,,,Gm44204
ENSMUSG00000106434,,,,Gm42990
ENSMUSG00000066158,,,,AY512931
ENSMUSG00000107622,,,,4930512J16Rik
ENSMUSG00000106041,,,,Olfr241-ps1
ENSMUSG00000074517,,,,Gm10710
ENSMUSG00000113341,,,,9430031K09Rik
ENSMUSG00000102692,ENSG00000197410,DCHS2,1,Dchs2
ENSMUSG00000037649,ENSG00000204257,HLA-DMA,1,H2-DMa
ENSMUSG00000113196,,,,D230049E03Rik
ENSMUSG00000096014,ENSG00000182968,SOX1,1,Sox1
ENSMUSG00000020650,ENSG00000075790,BCAP29,1,Bcap29
ENSMUSG00000055172,ENSG00000159403,C1R,1,C1ra
ENSMUSG00000103459,,,,Gm38096
ENSMUSG00002075906,,,,
ENSMUSG00000101334,,,,1700028M03Rik
ENSMUSG00000109921,,,,Gm33326
ENSMUSG00000109582,,,,4933439N14Rik
ENSMUSG00002074954,ENSG00000223136,RN7SKP207,0,7SK
ENSMUSG00000102137,,,,Rpl28-ps2
ENSMUSG00000097421,,,,D630011A20Rik
ENSMUSG00000119833,,,,Gm24584
ENSMUSG00000027996,ENSG00000145423,SFRP2,1,Sfrp2
ENSMUSG00000054764,ENSG00000168412,MTNR1A,1,Mtnr1a
ENSMUSG00000021342,ENSG00000172179,PRL,1,Prl
ENSMUSG00000095127,ENSG00000281990,IGHV1-69-2,0,Ighv1-82
ENSMUSG00000095127,ENSG00000211973,IGHV1-69,0,Ighv1-82
ENSMUSG00000095127,ENSG00000211950,IGHV1-24,0,Ighv1-82
ENSMUSG00000095127,ENSG00000211945,IGHV1-18,0,Ighv1-82
ENSMUSG00000095127,ENSG00000188403,IGHV1OR15-9,0,Ighv1-82
ENSMUSG00000095127,ENSG00000211962,IGHV1-46,0,Ighv1-82
ENSMUSG00000095127,ENSG00000280411,IGHV1-69D,0,Ighv1-82
ENSMUSG00000095127,ENSG00000211935,IGHV1-3,0,Ighv1-82
ENSMUSG00000095127,ENSG00000211968,IGHV1-58,0,Ighv1-82
ENSMUSG00000095127,ENSG00000277282,IGHV1OR21-1,0,Ighv1-82
ENSMUSG00000095127,ENSG00000211961,IGHV1-45,0,Ighv1-82
ENSMUSG00000110260,,,,Gm30504
ENSMUSG00000020079,ENSG00000156502,SUPV3L1,1,Supv3l1
ENSMUSG00000097250,,,,Gm26771
ENSMUSG00000104082,,,,Gm7115
ENSMUSG00000110231,,,,Gm6329
ENSMUSG00000105757,,,,Ighv1-83
ENSMUSG00000024130,ENSG00000167972,ABCA3,1,Abca3
ENSMUSG00000097816,,,,Gm26811
ENSMUSG00000020648,ENSG00000105865,DUS4L,1,Dus4l
ENSMUSG00000118134,,,,4930549G23Rik
ENSMUSG00000081972,,,,Gm16397
ENSMUSG00000010435,ENSG00000153498,SPACA7,0,Spaca7
